,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence,year
count,169909.0,169909.0,169909.0,169909.0,169909.0,169909.0,169909.0,169909.0,169909.0,169909.0,169909.0,169909.0,169909.0,169909.0,169909.0
mean,0.4932139761498824,0.5381497172015446,231406.1589733328,0.4885931303603691,0.08486307376301432,0.1619371431389088,5.200519101401339,0.20669034936348216,-11.370289301920343,0.7085557563166165,31.55660971461194,0.09405769441289134,116.9480173740055,0.5320951423473804,1977.2232312590857
std,0.37662706233787113,0.1753457820476098,121321.9232194027,0.26738993295713526,0.2786786492592543,0.3093288820382852,3.515256798426271,0.1767964903942967,5.66676462957171,0.4544289954405306,21.582613808558232,0.14993730259926963,30.72693665488687,0.2624076309203464,25.593167631761165
min,0.0,0.0,5108.0,0.0,0.0,0.0,0.0,0.0,-60.0,0.0,0.0,0.0,0.0,0.0,1921.0
25%,0.0945,0.417,171040.0,0.263,0.0,0.0,2.0,0.0984,-14.47,0.0,12.0,0.0349,93.516,0.322,1957.0
50%,0.4920000000000001,0.5479999999999999,208600.0,0.481,0.0,0.000204,5.0,0.135,-10.474,1.0,33.0,0.045,114.778,0.544,1978.0
75%,0.888,0.667,262960.0,0.71,0.0,0.0868,8.0,0.263,-7.117999999999999,1.0,48.0,0.0754,135.71200000000002,0.7490000000000001,1999.0
max,0.996,0.988,5403500.0,1.0,1.0,1.0,11.0,1.0,3.855,1.0,100.0,0.969,244.091,1.0,2020.0
